,id_not,titulo_nota,fecha_nota,desc_text,url_nota
0,0,Exgobernadora de La Guajira se entrega a las autoridades en Riohacha | El Heraldo,2020-07-12 15:25:37+00:00,"A través de un trino en el que la Defensoría del Pueblo se mostraba como acompañante del proceso, se conoció este fin de semana que Oneida Reyeth Pinto Pérez, exgobernadora de La Guajira, se entregó a las autoridades para responder por acusaciones de presuntas irregularidades en contrataciones para obras civiles en el departamento.
La entrega de Oneida Pinto se cumplió en el Comando de Policía de Riohacha, capital del departamento.
Hace una semana,  juzgado Quinto Penal Municipal con función de control de garantías de Riohacha había ordenado prorrogar por un año más la orden de captura en contra la exmandataria, por solicitud de la Fiscalía General de la nación.
La orden había sido emitida inicialmente el cinco de julio de 2019, luego de que a Oneida Pinto le imputaran los cargos de concierto para delinquir, peculado por apropiación, contrato sin cumplimiento de requisitos legales y falsedad en documento público.
En su momento, la Fiscalía acusó a la mandataria del detrimento de al menos $ 12.590 millones, provenientes de las arcas del Estado, que supuestamente habían sido usados para poner adoquines en el municipio de Albania, entre 2010 y 2011.
A Oneida Pinto se le había visto por última vez el 18 de junio de 2019, día en que la fiscal delegada solicitó la medida de cárcel en su contra, la cual fue admitida por el juez. Desde entonces, Pinto había estado prófuga de las autoridades. 
 

La Defensoría del Pueblo realizó acompañamiento a la entrega voluntaria de la exgobernadora de La Guajira, Oneida Pinto, en el Comando de la Policía Guajira en Riohacha. pic.twitter.com/99v6x39CD0
— Defensoría delPueblo (@DefensoriaCol) July 12, 2020",https://www.elheraldo.co/judicial/exgobernadora-de-la-guajira-se-entrega-las-autoridades-en-riohacha-741707
1,1,De varias puñaladas asesinan a lideresa trans en Valledupar | El Heraldo,2020-07-12 15:04:05+00:00,"En momentos en los que  Leidy Padilla Daza, de 41 años, prestaba sus servicios de peluquería, en la tarde del sábado, fue asesinada de dos puñaladas en las afueras de su local en barrio Villa del Rosario, de Valledupar. 
De acuerdo con lo manifestado por testigos, la mujer trans había sostenido, minutos antes, una discusión con un hombre que la obligó a salir a la vía pública y allí, mientras ella estaba “en estado de indefensión”, le propinó un ataque con un arma blanca a la altura de su abdomen y cuello, dejándola gravemente herida. 
La víctima fue traslada a un centro asistencial de la ciudad, donde minutos después perdió la vida.
Según la organización Caribe Afirmativo, la mujer trans era muy conocida en Valledupar; su hermano, también gay, había sido asesinado años atrás en el municipio La Jagua de Ibirico.  
“Ella, trabajaba desde hace muchos años en su propia peluquería en la capital de el Cesar, además lideraba acciones de prevención en materia de VIH /Sida en el espacio público; hacia parte de la organización de la marcha LGBTI de esa ciudad y acompañaba los procesos de la organización LGBTI Matices”, explicó la organización en un comunicado.
La víctima, de acuerdo con Caribe Afirmativo, estaba “aprovechando” que su sector laboral ya estaba autorizado para prestar servicios, según las normas expedidas por la Alcaldía en los días de la pandemia.
“Desde Caribe Afirmativo, hacemos un fuerte llamado a la Fiscalía para que investiga con celeridad todos los casos de homicidios, feminicidios y violencia contra las personas LGBTI”, solicitó la organización. 
En lo que corresponde a Leidy, por tratarse de una mujer trans, con un liderazgo ampliamente reconocido, la organización dice que debe tenerse  en cuenta y de manera central el análisis del feminicidio como una hipótesis, tal como lo señala la Corte Constitucional (en C-539 de 2016), con el fin de determinar si las motivaciones que tuvo quien la hirió hasta matarla, estaban relacionadas con su identidad de género.
“Solicitamos a la alcaldía municipal, activar de inmediato las acciones comprometidas en el Plan de Desarrollo para proteger la  vida de las personas LGBTI en esta ciudad, y activar acciones de pedagogía y cultura ciudadana, tendientes a promover el respeto y reconocimiento de las personas en razón de su orientación sexual, identidad y expresión de género”, señaló la organización en el comunicado. 
Con el asesinato de Leidy, son ya cuatro las lideresas y los líderes LGBTI que han sido asesinados en ese departamento en lo que va de 2020: el 6 y 7 de febrero, fueron asesinados en esa ciudad los jóvenes gais: José Alfredo Orozco y Yojarmis Rincón, respectivamente, este último de nacionalidad venezolana, y el 9 de abril, el joven universitario Edwin Redondo, conocido también por su activismo LGBTI.  
En lo que corresponde a la región Caribe, el asesinato de Leidy, es el caso número 15 que se presenta en lo que va del año,  de los cuales  12 han ocurrido en el marco de la pandemia y las medidas de aislamiento; preocupa además que la mayor afectación de la violencia homicida en la región es contra las mujeres.
5 de las 15 personas LGBTI que han muerto violentamente en la región en lo que va de 2020, eran trans (6 lesbianas, 5 trans y 4 gais): en Barranquilla, Paloma el 16 de abril y Brandy Carolina el 1 de junio, ese mismo día fue asesinada Ariadna en Santa Marta; el 13 de junio, Estefanía en Cartagena y, ayer 11 de julio Leidy en Valledupar.",https://www.elheraldo.co/judicial/de-varias-punaladas-asesinan-lideresa-trans-en-valledupar-741703
2,2,Ya son 34 las víctimas mortales de la explosión en Tasajera | El Heraldo,2020-07-11 16:22:35+00:00,"La lista de decesos por la tragedia de Tasajera sigue en aumento luego de que este domingo se conociera la muerte José Castillo Mejía, otra de las personas que se encontraban heridas tras la explosión el pasado lunes en Tasajera. 
Castillo Mejía era atendido en la clínica Reina Catalina de Barranquilla. Con este caso, ya son 11 los pacientes que han muerto en la capital del Atlántico
Esta muerte, se suma a las cinco de este sábado, de las cuales dos se encontraban internados en Barranquilla, dos en Valledupar y uno en Bogotá y ya son 34 el saldo total del siniestro.
Luis Manuel Marín Díaz, de 17 años, y Keivis José Samper Ayala, de 23 años, se encontraban en cuidados intensivos en la Clínica Atenas de Barranquilla luego de sufrir graves quemaduras, pero sus vidas se apagaron  por distintas fallas en sus cuerpos.
Además, un hombre, de 22 años, falleció en la Umhes Simón Bolivar de Bogotá. El paciente ingresó en malas condiciones generales, presentó falla multiorgánica (cardiopulmonar y renal), infección por SARS COV 2, de acuerdo a prueba rápida practicada antes de su traslado. Ya la Clínica de Alta Complejidad del Caribe, en Valledupar, había reportado más temprano este sábado el fallecimiento de otro paciente quemado, que fue identificado como Deiner Alberto Samper Miranda, de 38 años, quien tenía comprometido el 90% de la superficie corporal. 
El deceso de Deiner en Valledupar se produjo a las 8:55 de la mañana de este sábado, en el centro médico en el que se encontraba desde hace cinco días, bajo atención médica en la unidad de quemados.  Al cierre de esta edición, se conocio la muerte de Anyelo Pérez, de 17 años, quien falleció en la capital del Cesar. En Barranquilla han muerto 10 de los 19 heridos por la explosión que fueron trasladados a la ciudad para recibir atención de una unidad de cuidado crítico en cuatro centros asistenciales. En Baranoa siguen siendo atendidos otros cinco pacientes. 
Por otro lado, han sido cinco de los heridos de Tasajera los que han muerto en Valledupar, del total de 13 que fueron remitidos desde la zona de la tragedia. Patricia Pérez, gerente de la Clínica de Alta Complejidad del Caribe en Valledupar.
La lista de fallecidos es la siguiente: 
Fallecidos en Santa Marta: 
Carlos Ariza, 18 años.
Adolfo León Carranza, 19 años.
Deivis Andrés Carranza Ariza, 23 años
Gustavo Torres Maldonado, 23 años,
Álvaro Ariza, 21 años
Wilmar Antonio Pardo Ayala, de 41 años.
Carlos Camargo, 22 años
Carlos Ortíz Barcelón.
Fallecidos en Barranquilla:
Galdino José Gutiérrez Gómez, 44 años
Jhoiner Pacheco Viloria, 20 años
Jose Luis Castillo Sánchez, 29 años
James Alberto Carbonó Mendoza, 21 años
José Domingo Gómez Manga
Juan Carlos Guerrero Viloria, 33 años
Joiner Maldonado Franco, de 20 años
Adalberto Díaz Ortiz, 23 años
Luis Manuel Marín Díaz, de 17 años.
Keivis José Samper Ayala, 23 años.
Jose Castillo Mejía
Fallecido en traslado a Valledupar
Osnaider Álvarez, 26 años.
Fallecidos en Valledupar
Deibis José Ayala Niebles, de 24 años
Deiner Alberto Samper Miranda, 38 años
Jesús David Núñez Rodríguez, de 21 años,
Fallecidos en Bogotá: 
Nelson Zabala Montoya, de 32 años
César Robles Orozco, de 35 años.
A esta lista se le suman las siete personas que quedaron calcinadas cerca al camión al momento de la explosión.",https://www.elheraldo.co/judicial/ya-son-34-las-victimas-mortales-de-la-explosion-en-tasajera-741492
3,3,¿Qué tan eficaz ha sido la virtualidad en la justicia? | El Heraldo,2020-07-12 01:02:31+00:00,"Desde el pasado 1° de julio el Consejo Superior de la Judicatura anunció el levantamiento de los términos judiciales y administrativos que se encontraban suspendidos desde inicios de marzo pasado, a raíz de la declaratoria de la emergencia sanitaria a causa de la COVID-19.
No obstante, la justicia ordinaria –especialmente en materia penal– no cesó sus actividades, ya que las audiencias relacionadas con los actos urgentes, de control de garantías y las audiencias de los privados de libertad no cesaron.
Fue así como desde marzo el Consejo Superior de la Judicatura implementó unas plataformas tecnológicas para que la administración de justicia se mantuviera; sin embargo, esta virtualidad de la rama judicial ha tenido opiniones encontradas. 
Abogados y sindicatos han manifestado en reiteradas oportunidades que los procesos tecnológicos adoptados dejan ver la “improvisación” y las “carencias” de la rama en lo digital. Frente a esa postura, el Consejo Superior de la Judicatura se defiende y alega que “ha respondido” a la contingencia, y celebra con cifras, al menos en el Atlántico, los avances que en materia digital han tenido.
Precisamente Claudia Expósito Vélez, vicepresidenta del Consejo Seccional de la Judicatura en Atlántico señaló que desde el 24 de marzo el Centro de Servicios Judiciales, en los juzgados penales de Barranquilla, adelanta “todas sus audiencias de forma virtual” usando diversas plataformas, como RP1cloud, Lifesize y Teams que son implementadas por el centro de documentación judicial de la rama de justicia.
“Hasta el pasado 9 de julio se han celebrado 1.900 audiencias a través de estas herramientas virtuales que se pueden conseguir en la página web virtualesbaq.info. Este dominio en línea también permitió de forma sistemática reunir a todos los actores y público en general”, explicó Expósito Vélez.
La herramienta virtual, de acuerdo con la vicepresidenta del Consejo Seccional, “otorga” a las demás especialidades de la justicia “una gestión de virtualidad ágil y sencilla”. Estas aplicaciones, detalló, se encuentran en proceso de divulgación en todos los despachos del distrito judicial. 
“Hay que entender que esta pandemia nos tomó por sorpresa y el Consejo ha ido implementando herramientas virtuales de manera gradual. En abril pudimos recibir acciones penales y habeas corpus vía correo electrónico, además de notificaciones de tutelas y la autorización del pago de depósitos judiciales por el portal web transaccional del Banco Agrario de Colombia. Todo, a lo largo de los últimos 4 meses, fue gradual hasta que se levantaron los términos”, indicó Expósito Vélez.
Algunas cifras
La información del número de trámites de la demanda de justicia relacionada con los procesos judiciales en el marco de la emergencia sanitaria dependió de cada juzgado en cuanto a que cada uno diligenció los trámites que se le presentaban en los despachos judiciales bajo su jurisdicción.  
Así las cosas, del total de la demanda de la justicia, el Consejo señala que desde el 16 de marzo al 30 de junio se recibieron a través de canales virtuales 4.409 procesos en todo el departamento, incluido Barranquilla, repartidos así: 3.527 tutelas, 81 habeas corpus, 657 trámites relacionados con juzgados de ejecución de penas y medidas de seguridad y 144 trámites de juzgados administrativos.
Ahora bien, desde que se anunció el levantamiento de la suspensión de los términos judiciales, es decir desde 1 de julio hasta el pasado viernes, se habían recibido en todo el departamento, incluido Barranquilla, 2.720 procedimientos repartidos así: 564 tutelas, 15 habeas corpus, 1.775 repartos de demanda y 366 repartos judiciales.
“Las estadísticas demuestran que la virtualidad ha tenido acogida. Hemos entregado a los ciudadanos el uso de los canales tecnológicos para realizar sus trámites. En cuanto a los funcionarios, los hemos ido capacitando con el fin de que se familiaricen con el uso de las herramientas tecnológicas”, indicó Expósito Vélez.
La efectividad de la virtualidad, dijo la funcionaria, ha ido en aumento. “Basta solo con ver la celebración de audiencias virtuales en materia penal y su comportamiento en Barranquilla. En marzo se celebraron 84, en abril 419, en mayo 599, en junio 597 y en lo que va de julio 201. Todo esto nos indica que las cosas han ido mejorando. El uso de las plataformas ha permitido que la virtualidad en materia penal sea una realidad”, detalló.
Desde el 1° julio la atención al público en el Centro de Servicios judiciales y en el resto de juzgados se da de forma virtual y solo se han atendido casos excepcionales.",https://www.elheraldo.co/judicial/que-tan-eficaz-ha-sido-la-virtualidad-en-la-justicia-741635
4,4,Doble homicidio en Malambo en pleno toque de queda | El Heraldo,2020-07-11 14:16:38+00:00,"Las medidas que han tomado las autoridades departamentales en pro de evitar la expansión del coronavirus siguen siendo desacatadas por los habitantes de los diferentes municipios. La noche de este viernes, pese al toque de queda que comenzó a regir en todo el Atlántico desde las ocho de la noche y que se extenderá hasta las cinco de la mañana del lunes 13 de julio, ocurrió un doble homicidio en Malambo. 
El sangriento hecho se registró a las 11:30 p.m. en la calle 26 A No.  4 - 36, bloque 2, del conjunto residencial Ciudadela Real del Caribe. Allí perdieron la vida Brandon Maldonado Torres, de 19 años, conocido como ‘El Moneda’, quien recibió un disparo en el lado izquierdo del tórax; y Víctor Martínez Fontalvo, de 33 años, quien fue impactado en el cuello.
Ambos fueron trasladados de inmediato a la Clínica Campbell, donde fallecieron cuando recibían atención médica.
Según la información recopilada por las autoridades, el doble crimen ocurrió cuando las víctimas se encontraban dialogando en la dirección antes señalada. Allí fueron sorprendidos por dos sujetos que se movilizaban en una motocicleta, el parrillero descendió del vehículo y sin mediar palabras con sus víctimas accionó el arma de fuego en repetidas ocasiones, causándole las lesiones mortales.
La Policía investiga el hecho y trabaja en la búsqueda de los motorizados para esclarecer el crimen. Hasta el momento no han sido revelados los posibles móviles del doble asesinato y si las víctimas tenían alguna anotación judicial.",https://www.elheraldo.co/judicial/doble-homicidio-en-malambo-en-pleno-toque-de-queda-741470
5,5,La dura realidad de los tasajerenses | El Heraldo,2020-07-11 02:44:57+00:00,"“Estamos perdiendo la batalla”. Con esa frase y como si se tratara de una confrontación bélica entre la vida y la muerte, José Franco describe el momento por el que atraviesa su familia. Su sobrino, Joiner Maldonado Franco, de 20 años, falleció tras permanecer cuatro días en la UCI de la Clínica General del Norte. El joven es una de las 26 víctimas mortales que deja la explosión de un camión cisterna cargado con gasolina en el corregimiento de Tasajera, en el municipio de Puebloviejo.
“Los médicos nos informaron que le dio un paro respiratorio, en la madrugada del viernes. Los doctores siempre nos dijeron que su estado de salud era complicado. La tarde del jueves le habían realizado varias intervenciones. Nos dijeron que tenía la sangre contaminada, pero no resistió y falleció. Dios, ya no queremos más muertos”, dijo José a este medio vía telefónica en momentos en los que se trasladaban, junto a otros familiares, de Barranquilla a Tasajera a la espera de que les informen cuándo podrían retirar el cuerpo de su pariente de Medicina Legal.
“No dijeron que las morgues están muy llenas por los fallecidos del coronavirus, entonces nos recomendaron que nos fuéramos a la casa y que ellos nos informaban; sin embargo, en Barranquilla se quedó una tía y un primo y el papá de él (Joiner) para estar pendientes del cuerpo”, explicó el familiar.
El hermano de Joiner, Cristian Esnéider Maldonado Franco, de 24 años, permanece recluido en el Hospital Simón Bolívar, en Bogotá. “Él allá está solo, pero los médicos nos dicen que está mejorando y dependiendo de su evolución en las próximas 24 horas le retiran la respiración artificial”, señaló José Franco. 
Pese a la evolución de Cristian, el pariente señala que le preocupa que en el parte médico que le dieron ayer los doctores le informaran que el joven estaba “entrando en una crisis nerviosa, que estaba delirando y unos psicólogos ya estaban acompañándolo”, dijo José.  
Con respecto al estado de salud de los demás familiares, José manifestó que se encuentran en Valledupar y Santa Marta: “Están complicados, pero siguen luchando”.
Juan Carlos Guerrero Viloria, de 33 años, que se encontraba en cuidados intensivos de la Clínica Adelita de Char, también falleció en la madrugada de ayer, tras presentar complicaciones en su estado de salud.
Así mismo, en la tarde de ayer, en el Camino U.D. Adelita de Char se registró el fallecimiento de Adalberto Díaz Ortiz, de 23 años.
Por su parte, Carlos Manuel Ortiz Barceló fue otra de las personas que falleció recientemente. Las autoridades explicaron que su deceso se produjo a las 6:35 a.m. de este viernes en la clínica Mar Caribe, en Santa Marta. 
Eneida Carranza, esposa de la víctima, manifestó en las afueras del centro asistencial que no sabe qué va a hacer para mantener a los cinco hijos que tuvo con Ortiz, encargado del mantenimiento del hogar.
“Esto es muy doloroso, mi esposo y mi hijo (Adolfo León Carranza, muerto el 7 de julio) eran quienes trabajaban para sostener el hogar”, comentó la mujer, residente en el barrio La 40 de Tasajera.
El secretario de Salud departamental, Jorge Bernal, explicó que a raíz de la emergencia se decretó el estado de calamidad pública para que el gobernador del Magdalena, Carlos Caicedo, pudiera hacerle frente a la emergencia.
“Se entregaron herramientas para atender desde varios aspectos estas crisis, desarrollamos una entrega de mercados de familias damnificadas, 70 familias beneficiadas bajo el entendido de que los pacientes y fallecidos eran quienes atendían la manutención de sus familias”, manifestó.
En Valledupar falleció otro joven de 21 años. Jesús David Núñez Rodríguez presentaba quemaduras de segundo y tercer grado en el 90% de la superficie corporal.
Patricia Pérez, gerente de la Clínica de Alta Complejidad del Caribe en Valledupar confirmó: “Tuvimos el fallecimiento de un joven de 21 años que estaba en unidad de quemados; era uno de los casos más críticos, y a pesar del esfuerzo del personal médico murió”.
En la ciudad de Bogotá, la tarde de ayer falleció Carlos Robles, de 35 años. El hombre había ingresado el 7 de julio a la UMHES Simón Bolívar, con lesiones por quemaduras de segundo y tercer grado en el 55% de la superficie corporal.
Un parte
El gobernador del Magdalena, Carlos Caicedo, dijo que 40 pacientes continúan hospitalizados en varios centros médicos del país.
“Hay 11 pacientes en Valledupar, 13 pacientes en Barranquilla, cinco en Baranoa (Atlántico), siete en Bogotá, tres pacientes en Ciénaga, que se encuentran estables, y un paciente en Santa Marta que está con pronóstico reservado”, aseguró.",https://www.elheraldo.co/judicial/la-dura-realidad-de-los-tasajerenses-741425
6,6,“Homicidios por sicariato bajaron en los últimos meses”: Mebar | El Heraldo,2020-07-11 00:49:00+00:00,"De “positiva” calificó el general Ricardo Alarcón, comandante de la Policía Metropolitana, la situación de la seguridad en Barranquilla durante los últimos meses, en especial con los relacionados con el confinamiento obligatorio.

Según el alto uniformado, “hay cifras históricas que no se habían dado en los últimos 25 o 30 años”, por ejemplo, la reducción del 75% en lesiones personales o del 7% en los homicidios.

“Los delitos están con una tendencia a la reducción mes a mes, a excepción de junio, que fue uno de los meses más críticos con relación a los homicidios, pero el balance es netamente positivo”, destacó el general.

Para el comandante, durante la pandemia los crímenes registrados en los últimos meses guardan relación con hechos de intolerancia y por sicariato.

“Los análisis que hacemos es que antes de la pandemia los homicidios tuvieron un origen diferencial en su modalidad que era sicariato. Todo esto cambió y vemos que se dieron hechos relacionados con las interacciones sociales, es decidir más que todo por hechos de intolerancia”, indicó Alarcón.

Destacó el general que el hurto a personas disminuyó 54 por ciento con 1.967 casos menos. “Llama la atención la disminución del 49 por ciento en hurtos a celulares con 860 casos menos y el hurto de motos con 69 por ciento menos”, afirmó.

Como un dato a destacar, Alarcón argumentó que el servicio de policía ha tenido una “reorientación” en la medida en que sitios “que no eran tan concurridos como ahora ha hecho que nosotros giremos nuestra mirada hacia esas zonas, reformulemos el servicio de policía, lo replanteemos y lleguemos a esas zonas a ejercer control”, precisó.",https://www.elheraldo.co/judicial/homicidios-por-sicariato-bajaron-en-los-ultimos-meses-mebar-741388
7,7,Golpe al Clan del Golfo: 13 capturados | El Heraldo,2020-07-11 00:40:50+00:00,"Durante un año, los investigadores de la Sijin del departamento de Policía del Magdalena Medio realizaron una investigación contra una subestructura criminal del Clan del Golfo que tenía injerencia en varios municipios del sur de Bolívar y de Santander. Fueron más de doce meses de interceptaciones, seguimientos, reconocimientos en álbumes fotográficos los que terminaron con las capturas de 13 presuntos delincuentes. 
Entre los capturados hay desmovilizados de los bloques ‘Córdoba’ y ‘Catatumbo’ de las AUC que ahora prestaban su servicio delictivo a la subestructura ‘Luis Alfonso Echavarría’ del Clan del Golfo. Según precisaron investigadores, entre los 13 hombres que quedaron a disposición de la Fiscalía tras los 4 allanamientos realizados por la Sijín, hay cabecillas políticos, militares e integrantes de la red del procesamiento y distribución de estupefacientes del grupo armado. 
De acuerdo a lo expresado por el coronel Gustavo Adolfo Martínez Bustos, comandante del departamento de Policía del Magdalena Medio, con esta operación coordinada entre la Sipol y la Sijin, se logró una afectación al Clan del Golfo “se espera esclarecer 10 homicidios ocurridos entre el 2019 y 2020 así como dos tentativas de homicidio ocurridas este año. Es un trabajo muy importante de los peritos de dactiloscopia, en todo lo que tiene que ver con criminalística”, expresó el oficial. 
Así operaban 
Investigadores revelaron a EL HERALDO que esta banda delincuencial operaba en San Pablo, Cantagallo y Simití, en Bolívar; y en Bucaramanga, Puerto Wilches y Sabana de Torres, en Santander.  
En estos lugares, la subestructura ‘Luis Alfonso Echavarría’ se dedicaba a la comisión de homicidios por disputa de territorios, además de fortalecer las finanzas del Clan del Golfo con el cobro de extorsiones y la venta de estupefacientes. 
Los capturados como presuntos miembros del grupo armado fueron identificados como Ermy Daniel Velásquez Cuadrado, alias Político o Eduardo Medina, quien tiene una anotación por concierto para delinquir y es desmovilizado del bloque ‘Córdoba’, de las AUC. Sobre este hombre, en el informe de los investigadores se menciona que sería el cabecilla político de la organización criminal. 
También fueron capturados los presuntos cabecillas militares Agustín Alfredo Tordecilla Vargas, alias Jesús David o Ricaurte, quien también es exparamilitar del bloque ‘Catatumbo’ de las AUC y tiene anotaciones por hurto y amenazas; Jarinton Beleño Hurtado, alias Jarri, Costeño o Mario Cole; y Camilo Andrés Benavides Torres, alias Venado o Anibal, quien tiene una anotación por hurto. 
Igualmente, en el dossier de las capturas con el que la Policía llevó el caso ante un Fiscal, figuran como supuestos sicarios  Luis Carlos Jiménez Tinoco, alias Maraña o Pablo; Jainer Sánchez Muñoz, alias Pinki o Tato; Eduardo José Salazar Torres, alias Flaco, Gordo o Mateo Pérez; Jaime Nerley Ayala Rojas, alias Tundi, quien tiene anotaciones por porte de estupefacientes y falso testimonio; Ronald Jiménez De León, alias Elena; Jonathan Andrés Flórez Guzmán, alias Catalina o Alex, quien registra anotaciones por porte ilegal de armas de fuego; y Juvenal Morales Correa, alias Mecánico, con anotaciones por porte ilegal de armas. 
En cuanto a la red de estupefacientes de la subestructura, la Policía reportó que los presuntos integrantes capturados son Erik Faber Montenegro Beltrán, alias Pedro Camacho o Mateo, quien tiene una anotación por tráfico de estupefacientes; y Georgina Téllez Fuentes, alias La Cucha Geo, Ferney Castro o Cristian Guerrero. 
Todos los capturados deberán responder por los delitos de concierto para delinquir, porte ilegal de armas y homicidio agravado, según informó la Policía.",https://www.elheraldo.co/judicial/golpe-al-clan-del-golfo-13-capturados-741386
8,8,Fallecen 2 pacientes de Tasajera en Bogotá y Barranquilla: van 28 en total | El Heraldo,2020-07-10 23:50:07+00:00,"En las últimas horas fueron confirmadas por las autoridades de salud las muertes de otras dos víctimas del accidente en Tasajera, con lo que el conteo fatal del siniestro asciende a 28.
La Subred Integrada de Servicios de Salud Norte de Bogotá informó este viernes que falleció a las 3 de la tarde un hombre, de 35 años, que ingresó el 7 de julio al Hospital Simón Bolívar, de Bogotá, con lesiones por quemaduras de segundo y tercer grado en el 55% de la superficie corporal.
""El paciente presentaba falla renal, choque séptico y sospecha de infección por SARS COV 2. El equipo médico especializado multidisciplinario de la Unidad de Quemados atendió al paciente conforme a los protocolos establecidos y adelantó maniobras de reanimación sin éxito, durante 28 minutos"", se lee en el comunicado.
No obstante, su resultado fue negativo en la prueba de coronavirus. 
""Los demás pacientes remitidos desde el Magdalena los días 7 y 8 de julio, se encuentran en estado crítico con pronóstico reservado"", reportó finalmente la Secretaría de Salud capitalina.
De otro lado, la Secretaría de Salud de Barranquilla, informó este viernes que se registró un nuevo fallecimiento correspondiente a un paciente en la Clínica Adelita de Char, con lo que el total de decesos por este caso en la ciudad suben a seis en total.
""El reporte del Centro Regulador de Urgencias y Emergencias Distrital, CRUE, establece que en los centros asistenciales de la ciudad continúan 13 pacientes en las Unidades de Cuidados Intensivos: Clínica Atenas: 2 pacientes en UCI. Clínica Reina Catalina Barranquilla: 9 pacientes en UCI. Adelita de Char MiRed Barranquilla IPS: 2 pacientes en UCI"", indica la información.
La dependencia distrital recordó que la atención de estos pacientes se realiza en UCI independientes a COVID -19, puntualmente en los pabellones especiales de pacientes con quemaduras de alto grado y siguiendo todos los protocolos de bioseguridad enmarcados en la emergencia sanitaria declarada por COVID-19.",https://www.elheraldo.co/judicial/fallecen-2-pacientes-de-tasajera-en-bogota-y-barranquilla-van-28-en-total-741363
9,9,“Me quitaron el sustento de mis hijas”: dueño de furgón saqueado | El Heraldo,2020-07-10 20:43:50+00:00,"Tras la captura de 12 personas vinculadas al hurto de la mercancía y a los daños al camión que se volcó en la vía entre Barranquilla y Cartagena, a la altura de Arroyo de Piedra, el drama para el propietario del vehículo continúa.
Edwin García contó que con su vehículo destrozado, lo dejaron “con una mano adelante y otra atrás”, por eso en las redes sociales inició una campaña para ayudarle a reparar el furgón que sufrió más daños por el actuar de los inescrupulosos que por el accidente mismo.
“Lamentando lo sucedido. Nadie va a querer tener un percance de esos, y menos de esa manera. Gracias a Dios no me pasó nada”, expresó el conductor.
García recordó lo que ocurrió tras volcarse. “Lo que menos pensé es que la gente nos iba dañar el carro así. Pensé que nos iban a ayudar, y con unos machetes acabaron con el carro, me quitaron el sustento de mis hijas, mi capital, me dejaron con una mano adelante y otra atrás. A veces uno se lamenta de lo sucedido, los accidentes que pasan en la carretera. Lo que menos uno cree es que lo van a atracar”, expresó el señor a través de un video.
En redes sociales varias personas se han quejado por la inseguridad que se vive en las vías y piden mayor vigilancia y reacción por parte de las autoridades cuando se presentan accidentes de tránsito.

Este video llegó a mi a través de él y su esposa, al Señor Edwin se le volcó su camión lleno de pescados, con el que sostiene su hogar, las personas que llegaron al lugar dañaron su camión y robaron la mercancía... el nos necesita, VAMOS A AYUDARLO!!!! pic.twitter.com/fdTgYS6Ocf
— mona (@EnaLCabrales) July 10, 2020",https://www.elheraldo.co/judicial/me-quitaron-el-sustento-de-mis-hijas-dueno-de-furgon-saqueado-741312
