CODIGO,DEPARTAMENTO_HECHO,MUNICIPIO_HECHO,COD_DANE,PDET_ETCR,FECHA_EVENTO,MES_HECHO,ANNO_HECHO,TIPO_EVENTO,SUB_TIPO_EVENTO,PRESUNTO_AUTOR ,DESCRIPCION_PRELIMINAR,FUENTE,CATEGORIA_EVENTO
33765,CAUCA,SUAREZ,19780,PDET,2/01/2019,1,2019,HOMICIDIOS,LIDERES_SOCIALES,NO_PRECISA,"Este martes se presentó el primer asesinato de un líder social de este 2019. Se trata de Gilberto Valencia, emprendedor social, constructor de paz y gestor cultural del municipio de Suárez (Cauca) quien fue asesinado en horas de la mañana mientras se encontraba departiendo con familiares y amigos por la llegada del año nuevo. Al parecer, un joven le disparó con un arma hechiza causándole la muerte. Señalan que Valencia conocía a su agresor, quien al parecer hacía parte de los procesos sociales que el líder trabajaba en el municipio. Según testigos de los hechos, el agresor estaba en estado de embriaguez y bajo los efectos de sustancias psicoactivas. Aún se desconocen las causas de lo que pudo motivar el asesinato del líder social. Gilberto Valencia era el líder del grupo “Los Herederos”, y participó en una convocatoria de la organización RECON, siendo uno de los ganadores en 2015. Con su iniciativa “Diálogos itinerantes para la paz” buscaba a través de la música socializar cada uno de los puntos de los acuerdos logrados en los diálogos de paz de La Habana. Andrés Santamaría, director de RECON, rechazó lo sucedido y señaló que ""la violencia y la descomposición social nos están arrebatando a los líderes y gestores sociales, quienes desde sus acciones buscan la construcción de paz y la generación de oportunidades para la transformación social. No podemos permitir que en nuestro país todos los días sigan asesinando líderes sociales”. El Sistema de Alertas Tempranas de la Defensoría del Pueblo señaló que a finales de 2018 se tenía el reporte de 164 líderes sociales y defensores de DD.HH asesinados. Las cifras dan cuenta de que 153 de las víctimas eran hombres y 11 mujeres, en su mayoría dedicados a trabajos comunales. La Defensoría del Pueblo también señaló que desde el 1 de enero de 2016 hasta el pasado 30 de noviembre, se han registrado 423 asesinatos a líderes sociales, siendo este año el que ha marcado el tope más alto.",EL ESPECTADOR,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33766,NORTE_DE_SANTANDER,TIBU,54810,ETCR - PDET,2/01/2019,1,2019,HOMICIDIOS,NO_PRECISA,NO_PRECISA,"En una hoja cuadriculada, que dejaron sobre el cuerpo de un hombre baleado, los asesinos justificaron lo ocurrido y dan a entender que seguirán cometiendo más homicidios. En la hoja escribieron: “murió por ladrón de motos y continuaremos”. El mensaje es muy claro y estarían dando a entender que en Tibú se está llevando a cabo una ‘limpieza’ a personas señaladas de cometer delitos. Con esta víctima, en el sector La Serena, en la vía que conduce al corregimiento La Gabarra, Tibú llega a los 80 homicidios, antes de terminar el año, superando la cifra de 2017 que fueron 69. Según versiones, hombresque se movilizaban en motos llegaron con la víctima hasta ese desolado sector y le propinaron varios disparos en la cabeza y en la cara. El occiso se encuentra sin identificar.",LA OPINION,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33767,VALLE_DEL_CAUCA,CARTAGO,76147,0,31/12/2018,12,2018,ACCIONES_INSTITUCIONALES,CAPTURAS,NO_PRECISA,"A través de su cuenta de Twitter el ministro de defensa Guillermo Botero confirmó la captura de seis personas que serían los presuntos responsables de la balacera del pasado 1º de diciembre en el municipio de Cartago (Valle del Cauca) en donde fueron asesinadas dos personas y cinco más resultaron gravemente heridas. Los capturados harían parte de la organización conocida como “Los Flacos” que delinque en el norte de este departamento. Los hechos ocurrieron hacia la 1:00 de la tarde en pleno parque del municipio cuando dos sicarios con fusiles empezaron a disparar en el sector conocido como La Isleta. Allí se concentraban varias personas que estaban participando en la jornada de salud convocada por las autoridades sobre terapia neural. El hecho dejó dos personas muertas entre los que se encontraban el líder comunitario José Urley Carmona y Luz Marina Urrego. Una de las primeras hipótesis de la investigación señala que el atentado iba dirigido contra el médico Hugo Eduardo Cedeño, quien es precandidato a la Alcaldía de Cartago y es el gerente del hospital de Ansermanuevo (Valle), que resultó herido en un pie. Otros de los heridos fueron Ángel Ignacio Saldarriaga, Harlinson Durán, Estefanía Restrepo, Juan Miguel Maestre y Jonathan Ospina.",EL ESPECTADOR,ACCIONES_INSTITUCIONALES
33768,COLOMBIA,NO_PRECISA,,,31/12/2018,12,2018,ACCIONES_INSTITUCIONALES,OPERACIONES_ANTINARCOTICOS,NO_PRECISA,"En materia de narcotráfico, Colombia cierra el año con cifras esperanzadoras. De acuerdo con información de las autoridades, en lo corrido de 2018 se logró la incautación de 273 toneladas de cocaína, la destrucción de 1.870 laboratorios de procesamiento de drogas ilícitas, la desarticulación de 124 organizaciones dedicadas al narcotráfico y a captura de más de 63.000 personas, entre las que se encuentran 1.644 extranjeros y 63.766 nacionales. Aunque las cifras de producción de cultivos ilícitos en Colombia siguen siendo alarmantes, la Policía Antinarcóticos informó que se alcanzaron las metas de erradicación de este tipo de cultivos, llegando a la cifra de 60.016 cultivos erradicados. “En lo que respecta a las incautaciones de marihuana, durante el 2018 se incrementó en un 8%, registrando un total de 204.534 kilos en 2018 con respecto a 190.506 kilos en 2017”, señala la entidad. Los departamentos que registraron la mayor incautación de drogas ilícitas durante 2018, fueron Nariño con 118.939 kilos de clorhidrato de cocaína, Putumayo con 5.367 kilos de base de cocaína y Valle del Cauca con 68.841 kilos de marihuana. Frente a la destrucción de laboratorios de producción de drogas ilícitas las autoridades registraron 1.871 laboratorios destruidos, lo que significa un aumento del 18% en comparación con el 2017. “Teniendo en cuenta que la industria del narcotráfico genera considerables rentas para sus integrantes y alimenta grandes patrimonios ilegales el informe de resultados anual presenta un incremento del 25% en la presentación de bienes al pasar de 4.848 en 2017 a 6.096 en 2018”, agregó la entidad. En septiembre de este año, se reveló el informe de monitoreo de cultivos ilícitos realizado por la Oficina de las Naciones Unidas contra la Droga y el Delito. Según el reporte las cifras son alarmantes ya que en 2017 se presentó un incremento de la producción de cocaína en el país llegando a las 1.379 toneladas. En tan solo un año el área cultivada con coca en el país creció un 17% y el número de hectáreas cultivadas coca llegó en 2017 a las 171.000 hectáreas, una cifra histórica.",EL ESPECTADOR,ACCIONES_INSTITUCIONALES
33769,ARAUCA,ARAUCA,81001,0,2/01/2019,1,2019,ACCIONES_INSTITUCIONALES,RESCATE/_LIBERACION_DE_SECUESTRADOS,GAOR_GRUPOS_ARMADOS_ORGANIZADOS_RESIDUALES,"La fuerza pública logró la liberación por presión de Luis Alfonso Lázaro Suárez, quien había sido secuestrado el pasado lunes 31 de diciembre por disidencias de las Farc en zona rural del municipio de Arauca. Su liberación se dio en la población fronteriza de El Amparo en el estado Apure venezolano. Los operativos militares se llevaron a cabo de manera coordinada con autoridades venezolanas, precisa el informe de la Décima Octava Brigada del Ejército Nacional. La Fuerza de Tarea Quirón en el marco del plan Navidad Diamante en operaciones conjuntas con la Armada Nacional y coordinadas con la Policía Nacional, logró la liberación del ingeniero Luis Alfonso Lázaro Suárez, quien había sido secuestrado el 31 de diciembre de 2018 en zona rural del municipio de Arauca y trasladado al Estado Apure del territorio venezolano. El plagio que duró aproximadamente 12 horas, fue atribuido al Grupo Armado Residual Subestructura Primera y se logró frustrar tras un patrullaje realizado por el Batallón de Infantería de Marina No.52 que hizo que los delincuentes abandonaran a la víctima, quien fue recuperado por la Guardia Nacional Bolivariana y la Brigada 92 Caribe de Venezuela. La constante comunicación entre las autoridades de los dos países, donde los Gaulas jugaron un papel importante, permitió que el ingeniero quien en estos momentos se encuentra en chequeos médicos, pudiera reencontrarse en tiempo record con su familia. De este modo, el Ejército Nacional, Armada Nacional y la Policía Nacional, demuestran su compromiso irrestricto por velar por la seguridad y el bienestar de los habitantes de esta zona del país, negándole éxito a los grupos armados ilegales que delinquen en la jurisdicción.",LA VOZ DEL CINARUCO,ACCIONES_INSTITUCIONALES
33770,COLOMBIA,NO_PRECISA,,,2/01/2019,1,2019,ACCIONES_INSTITUCIONALES,JUSTICIA,NO_PRECISA,"La defensa del caballista Santiago Gallón le confirmó a EL TIEMPO que su cliente quedó libre el pasado 31 de diciembre, a las 12 del día, luego de que se alegara vencimiento de términos dentro del proceso que se le sigue por narcotráfico. En efecto, un juez de control de garantías de Medellín acogió la tesis de la defensa de Gallón según el cual ya habían pasado 305 días desde que se presentara el escrito de acusación, sobrepasando en más de 60 días los plazos estipulados por la ley. La medida de libertad afecta a siete personas más que están vinculadas al proceso, cuyos abogados usaron el mismo argumento. En el caso de Gallón, la libertad se tramitó de manera inmediata y este salió de la cárcel de Cúcuta en la que estaba recluido desde hacía casi un año. El polémico caballista fue capturado luego de que agentes británicos entregaron pruebas de que es parte de una red internacional de narcotráfico que traficaba coca en comida para perros. Gallón, miembro de una otrora reputada familia de ganaderos, ya pagó una condena por conformación de grupos paramilitares y estuvo vinculado a la investigación por el crimen del futbolista Andrés Escobar, ocurrido en 1994. En la práctica, esto significa que Gallón deberá afrontar el juicio por narcotráfico en libertad, luego de que la Fiscalía frenó un preacuerdo con el polémico caballista, para rebajarle la condena a cambio de que aceptara los cargos. Durante la audiencia, la defensa de Gallón puso de presente que la fiscal del caso, Yolanda Puy, no tiene competencia sobre ese proceso, porque está radicado en Barranquilla y fue trasladado a Medellín. Además, resaltó que el fiscal suplente sólo apeló la libertad de Gallón y no la de los otros 7 implicados, ""mostrando un claro sesgo"". EL TIEMPO estableció que, para la Fiscalía, los términos no estaban vencidos pues, con el fallido preacuerdo, estaban suspendidos. Gallón fue citado para el próximo 29 de marzo, día en el cual debe proseguir la audiencia de acusación en su contra.",EL TIEMPO,ACCIONES_INSTITUCIONALES
33771,ARAUCA,FORTUL,81300,PDET,2/01/2019,1,2019,HOMICIDIOS,OTROS,NO_PRECISA,"Promediaban las 9:00 de la noche cuando se registró el homicidio de Efrén Salcedo, de 47 años de edad, se encontraba en su establecimiento comercial y sitio de residencia, de la calle 6ta con carrera 23 esquina del barrio El Centro, a donde llegaron dos sujetos en un vehículo que le pidieron la venta de una bebida, cuando sorpresivamente fue impacto con disparos de arma de fuego, quedando gravemente herido. Los responsables luego de esta acción se dieron a la fuga, mientras que vecinos del sector alcanzaron a brindarle ayuda a la víctima, quien fue trasladado a la unidad de urgencias del Hospital San Francisco a donde llegó sin signos vitales. Efrén Salcedo, conocido cariñosamente como “Chicote”, era ampliamente conocido en el municipio, tenía la franquicia de la venta de bebidas de cerveza y gaseosas en este municipio. La acción sicarial, ocurrió a una cuadra de la estación de policía y en plena vía pública del municipio de Fortul, donde las acciones de los actores armados, disidencias de las Farc y el Eln han sido constantes. Las autoridades vienen investigando el hecho para establecer la responsabilidad de este primer asesinato que se conoce en el departamento de Arauca en el inicio de este 2019.",LA VOZ DEL CINARUCO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33772,CAQUETA,CARTAGENA_DEL_CHAIRA,18150,PDET,2/01/2019,1,2019,HOMICIDIOS,OTROS,NO_PRECISA,"El gremio de comerciantes del departamento lamentó la muerte de Romín Cárdenas Aguilar y a la vez exigieron a las autoridades que investiguen este hecho y den con la captura del presunto asesino quien ya estaría identificado plenamente. Cárdenas Aguilar, murió al interior de un establecimiento en la inspección de Remolinos del Caguán en zona rural del municipio de Cartagena del Chairá. De acuerdo con el reporte judicial, la víctima recibió un impacto con arma de fuego que de inmediato acabó con su vida.",LA NACION,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33773,NARIÑO,SAN_ANDRES_DE_TUMACO,52835,ETCR - PDET,2/01/2019,1,2019,HOMICIDIOS,OTROS,NO_PRECISA,"De su cama, cuando dormía, fue sacado un joven de 27 años de edad en la vereda Verde, corregimiento de La Guayacana, en jurisdicciónde Tumaco y tiempo más tarde fue hallado muerto con varios impactos de arma de fuego. Se afirma que un grupo de hombres armados irrumpieron en la vivienda y se llevó a Luis Eduardo Caicedo Vallejo, pese a las súplicas de su familia para que lo dejaran y le respetaran la vida.
En una carretera destapada de dicha vereda fue encontrado muerto Caicedo Vallejo. De inmediato campesinos dieron aviso a la Estación de Policía, de donde enviaron varios patrulleros motorizados. Se confirmó que la víctima presentaba varios impactos de arma de fuego en distintas partes del cuerpo que le causaron la muerte de inmediato. El cuerpo fue trasladado a la morgue municipal de Tumaco, en donde familiares constataron ante el CTI y la Policía la identidad de la víctima",DIARIO DEL SUR,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
33774,VALLE_DEL_CAUCA,BUENAVENTURA,76109,PDET,1/01/2019,1,2019,HOMICIDIOS,OTROS,NO_PRECISA,"Las autoridades del Valle del Cauca, se encuentran preocupadas por los siete crímenes que se presentaron en Buenaventura donde el caso de mayor gravedad se registró al interior de una discoteca donde murieron tres personas. En este establecimiento nocturno, se presentó una riña que produjo una balacera con el anterior número de víctimas. Entre las personas que murieron hay dos hombres y una mujer, entre ellos el administrador del sitio y una mujer más resultó herida. Las personas que fallecieron en esta barra de licores fueron identificadas como: Carlos Jair García, John Núñez Camacho, Solangie Julio Vallejo y la persona herida como Lina Melissa Valencia. El comandante de la Policía en Buenaventura, coronel Jorge Miguel Cabrera aseguró que cuando las autoridades llegaron al lugar pudieron verificar que ya lo habían lavado por lo que se perdió mucho material probatorio para la investigación. Las otras cuatro personas muertas se registraron en hechos aislados, tres de ellas en la zona urbana y una en la zona rural.",RCN RADIO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
