CODMUN,longitude,latitude
86573,-74.78343162,-0.185711824
19355,-76.06517264,2.548670821
19364,-76.32439528,2.777646648
19392,-76.76270699,2.179091553
19397,-76.77980449,2.002863448
19418,-77.24819144,2.845804004
19450,-77.16442919,1.795675611
19455,-76.22960531,3.251825509
19473,-76.62787981,2.753988891
52051,-77.13579797,1.503151191
52079,-78.13651282,1.674062065
19001,-76.63011557,2.451132597
52001,-77.29084473,1.200480473
41244,-75.93806019,2.013330351
41298,-75.6277871,2.19528295
41306,-75.54653958,2.385501894
41319,-75.75746459,2.024682679
41349,-75.4501938,2.582313736
41357,-75.63498554,2.649923685
41359,-76.21569601,1.930160834
41378,-75.97914652,2.198305277
41396,-75.89105899,2.389257725
41016,-75.23997824,3.2223203
41020,-75.31564385,2.522472671
41026,-75.78858799,2.063309953
41078,-75.05440113,3.152561939
41132,-75.32592035,2.684437323
41206,-74.80266878,3.376654513
27250,-77.36494139,4.258122901
76892,-76.49840059,3.533582153
76109,-77.01861312,3.870396219
52565,-77.59742887,1.239096565
52573,-77.50426634,0.885122221
52356,-77.65424188,0.825744099
52585,-77.63678465,0.870632474
52612,-77.9960713,1.213145848
52621,-78.24461962,1.696966208
52683,-77.47164252,1.283976736
52685,-77.04704377,1.514390167
52687,-77.21535351,1.503118556
52693,-77.01267985,1.669115452
52694,-77.12003399,1.552453657
18001,-75.59669379,1.612054318
18029,-75.87861962,1.328973066
18094,-75.87146839,1.420201475
18150,-74.8445975,1.334266125
18205,-75.92032693,1.033598126
18247,-75.28280395,1.678987804
18256,-75.32606788,1.570816881
18410,-75.43611568,1.488259599
18460,-75.50750208,1.29057686
18479,-75.72443582,1.486763717
18592,-75.15782024,1.910100985
18610,-75.97362808,1.331666655
18753,-74.77192286,2.113327292
18756,-75.25332898,0.699095449
18785,-75.62010903,0.872337295
18860,-75.70598461,1.196088042
25053,-74.4147367,4.272628349
25120,-74.48429254,3.984827776
52678,-77.59208102,1.333881628
52838,-77.61781114,1.086611154
52885,-77.40177315,1.115845494
63111,-75.74033922,4.358601723
63130,-75.64481697,4.52297443
50370,-74.35199454,3.239736574
76001,-76.5352769,3.410248055
76364,-76.53946097,3.260308756
76233,-76.68919199,3.657373773
76377,-76.56811753,3.647104597
76606,-76.52078772,3.825358642
76869,-76.44193039,3.698848748
76126,-76.48587448,3.933888509
25307,-74.78500447,4.315227222
