Cod Depto,Departamento,Cod en texto ,Municipio,Dirección Territorial ,Director Territorial ,Alcalde,Población 2017,No. Víctimas por Declaración,No. Sujetos Atención ,"Acto terrorista , Atentados, Combates, Enfrentamientos , Hostigamientos",Amenaza,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,Desaparición forzada,Desplazamiento Forzado,"Homicidio, Masacre","Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",Secuestro,Tortura,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",Abandono o Despojo Forzado de Tierras,Perdida de Bienes Muebles o Inmuebles ,Puntos de Atención,Personas Atendidas,Solicitudes de AH,Solicitudes de Registro,Solicitudes de Oferta,Otras Solicitudes,Total Solicitudes Recibidas,Priorizado,En Construcción,En Formulación,En proceso de contratación,En Funcionamiento ,Misiones Humanitarias 2012-2017,Emergencias Humanitarias 2012-2017,Incluido,No Incluido,Excluido,En Valoración,RECEPCIÓN FORMATOS / Defensoria,RECEPCIÓN FORMATOS / Personeria,RECEPCIÓN FORMATOS / Procuraduria,RECEPCIÓN FORMATOS / Entidad No Informa ,RECEPCIÓN FORMATOS / Consulados,Beneficiarios Dinero Atención Humanitaria,Valor Dinero Atención Humanitaria,Beneficiarios especie Atención Humanitaria,Valor especie Atención Humanitaria,Caracterización de Población Víctima - PAARI Módulo de Asistencia 2012-2017 - Hogares,Caracterización de Población Víctima - PAARI Módulo de Asistencia 2012-2017 - Personas,Caracterización de Población Víctima - PAARI Módulo de Asistencia 2012-2017 - con discapacidad,Atencion Humanitaria 2012-2017 - Giros,Atencion Humanitaria 2012-2017- Valor,Ayuda Humanitaria por Otros Hechos Diferentes al Desplazamiento 2012-2017 - Víctimas,Ayuda Humanitaria por Otros Hechos Diferentes al Desplazamiento 2012-2017 - Valor,PAARI - Módulo de Reparación 2012- 2017 - Víctimas,PAARI - Módulo de Reparación 2012- 2017 - NNA,Estrategia de Recuperación Emocional ,Indemnizaciones 2012-2017 - No. de Indemnizaciones,Indemnizaciones 2012-2017 - Valor,Programa de Acompañamiento 2017 - Con intención de recibir acompañamiento,Programa de Acompañamiento 2017 - En un Negocio,Programa de Acompañamiento 2017 - En Terreno Rural ,Programa de Acompañamiento 2017 - En Vivienda,Programa de Acompañamiento 2017 - En Educación,Identificación,Acercamiento ,Alistamiento ,Pre-Consulta o Consulta Previa,Caracterización del Daño,Diagnóstico del Daño,Diseño y Formulación,En Fase de Diseño e Implementación del PIRC,PIRC aprobado por CTJ,Sin Especificar,Total SRC en el municipio,SIN FUD,SRC en Valoración,SRC Incluido,DEVOLUCION MP ,SRC No Incluido,SRC Indentificados,Apoyo a Entes Territoriales,Atención y Ayuda Humanitaria ,Proyectos de Infraestructura Social y Comunitaria,Indemnizaciones,Centros Regionales *(Aporte  Unidad Victimas)
5,Antioquia,05001, Medellín,Antioquia,Jorge Mario Alzate Maldonado,Federico Andres Gutierrez Zuluaga,"2,508,452","649,555","507,975","5,502","63,524","1,311","29,035","455,616","217,750",653,"2,877","1,427",680,0,"1,464",6,"228,948","169,406","59,311","3,771","85,238","317,726",1,0,0,0,0,49,121,"58,183","43,101",0,204,"8,240","85,909","8,847",1,0,423,257,969,567,"109,584","358,488","19,403","546,710","405,011","1,132","1,447","77,996","1,242","4,303","70,083","448,021","6,655","1,904",207,"3,632",348,2,0,0,0,0,1,0,0,1,0,4,1,0,3,0,0,4,823,"406,458",0,"448,021",0
5,Antioquia,05002, Abejorral,Antioquia,Jorge Mario Alzate Maldonado,Mario De Jesús Gutiérrez Guzmán,"19,096","4,775","4,137",45,363,7,5,"4,561",488,3,13,4,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,574,62,0,2,1,637,0,0,0,0,0,0,0,817,"2,761",189,"4,176","2,284",3,4,889,1,86,240,"1,742",108,14,21,63,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,288",0,"1,742",0
5,Antioquia,05004, Abriaquí,Antioquia,Jorge Mario Alzate Maldonado,Jhon Fredy López Sepúlveda,"2,019","1,511","1,186",1,17,1,0,"1,462",85,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,65,0,1,0,399,0,0,0,0,0,0,0,71,241,12,319,139,0,0,57,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0
5,Antioquia,05021, Alejandría,Antioquia,Jorge Mario Alzate Maldonado,Luis Fernando López Pérez,"3,393","5,286","4,342",16,86,7,26,"5,330",485,10,92,2,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,124",348,0,1,41,"1,437",1,0,0,0,0,0,0,406,"1,145",77,"3,280","1,567",1,1,650,0,44,218,"1,693",31,6,2,8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,"1,568",0,"1,693",0
5,Antioquia,05030, Amagá,Antioquia,Jorge Mario Alzate Maldonado,Wilser Darío Molina Molina,"29,980","1,762","1,213",10,72,7,12,"1,342",438,2,4,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,368,279,0,1,0,628,22,0,0,0,0,0,0,237,830,30,"1,180",603,9,12,299,3,33,846,"6,510",25,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,"6,510",0
5,Antioquia,05031, Amalfi,Antioquia,Jorge Mario Alzate Maldonado,Román Fernando Monsalve Sánchez,"22,414","5,514","4,184",39,95,8,44,"5,357",380,17,15,8,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,7,667,171,0,7,28,824,0,0,0,13,9,227,119,499,"1,777",98,"2,086","1,080",13,17,433,9,2,0,0,16,3,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,"1,097",13,0,0
5,Antioquia,05034, Andes,Antioquia,Jorge Mario Alzate Maldonado,John Jairo Mejía Aramburo ,"46,621","3,973","3,066",18,45,7,77,"3,216",730,13,43,1,8,0,10,1,"7,090","4,776",523,0,"3,667","8,966",0,0,0,0,0,15,3,878,619,0,5,1,"1,156",355,0,0,6,5,76,504,859,"2,992",98,"2,916","1,616",25,31,"1,137",28,3,"1,393","7,865",77,14,15,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,"1,648",0,"7,865",0
5,Antioquia,05036, Angelópolis,Antioquia,Jorge Mario Alzate Maldonado,Olga Lucia Zapata Marín,"9,216","1,400","1,024",2,29,0,12,"1,284",170,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,82,0,3,0,368,0,0,0,0,0,0,0,70,222,12,740,350,5,6,64,0,0,52,347,9,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,347,0
5,Antioquia,05038, Angostura,Antioquia,Jorge Mario Alzate Maldonado,Marta Lucia Porras Arenas,"11,139","2,813","2,271",19,9,1,12,"2,850",315,13,7,2,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,5,560,170,0,3,0,736,0,0,0,0,0,0,0,174,681,42,"1,431",749,16,19,217,3,0,263,"1,505",9,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,"1,505",0
5,Antioquia,05040, Anorí,Antioquia,Jorge Mario Alzate Maldonado,Nicolás Guillermo Herón Arango,"17,521","7,453","6,672",72,80,2,15,"7,108",464,74,6,0,8,0,33,1,"6,526","6,913",681,0,573,"8,167",0,0,0,0,0,12,39,552,143,0,1,0,699,0,0,0,5,3,0,0,"1,205","4,145",138,"6,740","3,100",71,87,504,3,0,256,"1,591",26,2,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"3,187",58,"1,591",0
