COD_CIUDAD_MUNI,NombreMun,NombreDep,MunDep,longitude,latitude
86573,Leguízamo,Putumayo,Leguízamo Putumayo,-74.78343162,-0.185711824
19355,Inzá,Cauca,Inzá Cauca,-76.06517264,2.548670821
19364,Jambaló,Cauca,Jambaló Cauca,-76.32439528,2.777646648
19392,La Sierra,Cauca,La Sierra Cauca,-76.76270699,2.179091553
19397,La Vega,Cauca,La Vega Cauca,-76.77980449,2.002863448
19418,López,Cauca,López Cauca,-77.24819144,2.845804004
19450,Mercaderes,Cauca,Mercaderes Cauca,-77.16442919,1.795675611
19455,Miranda,Cauca,Miranda Cauca,-76.22960531,3.251825509
19473,Morales,Cauca,Morales Cauca,-76.62787981,2.753988891
52051,Arboleda,Nariño,Arboleda Nariño,-77.13579797,1.503151191
52079,Barbacoas,Nariño,Barbacoas Nariño,-78.13651282,1.674062065
19001,Popayán,Cauca,Popayán Cauca,-76.63011557,2.451132597
52001,Pasto,Nariño,Pasto Nariño,-77.29084473,1.200480473
41244,Elías,Huila,Elías Huila,-75.93806019,2.013330351
41298,Garzón,Huila,Garzón Huila,-75.6277871,2.19528295
41306,Gigante,Huila,Gigante Huila,-75.54653958,2.385501894
41319,Guadalupe,Huila,Guadalupe Huila,-75.75746459,2.024682679
41349,Hobo,Huila,Hobo Huila,-75.4501938,2.582313736
41357,Iquira,Huila,Iquira Huila,-75.63498554,2.649923685
41359,Isnos,Huila,Isnos Huila,-76.21569601,1.930160834
41378,La Argentina,Huila,La Argentina Huila,-75.97914652,2.198305277
41396,La Plata,Huila,La Plata Huila,-75.89105899,2.389257725
41016,Aipe,Huila,Aipe Huila,-75.23997824,3.2223203
41020,Algeciras,Huila,Algeciras Huila,-75.31564385,2.522472671
41026,Altamira,Huila,Altamira Huila,-75.78858799,2.063309953
41078,Baraya,Huila,Baraya Huila,-75.05440113,3.152561939
41132,Campoalegre,Huila,Campoalegre Huila,-75.32592035,2.684437323
41206,Colombia,Huila,Colombia Huila,-74.80266878,3.376654513
27250,El Litoral del San Juan,Chocó,El Litoral del San Juan Chocó,-77.36494139,4.258122901
76892,Yumbo,Valle del Cauca,Yumbo Valle del Cauca,-76.49840059,3.533582153
76109,Buenaventura,Valle del Cauca,Buenaventura Valle del Cauca,-77.01861312,3.870396219
52565,Providencia,Nariño,Providencia Nariño,-77.59742887,1.239096565
52573,Puerres,Nariño,Puerres Nariño,-77.50426634,0.885122221
52356,Ipiales,Nariño,Ipiales Nariño,-77.65424188,0.825744099
52585,Pupiales,Nariño,Pupiales Nariño,-77.63678465,0.870632474
52612,Ricaurte,Nariño,Ricaurte Nariño,-77.9960713,1.213145848
52621,Roberto Payán,Nariño,Roberto Payán Nariño,-78.24461962,1.696966208
52683,Sandoná,Nariño,Sandoná Nariño,-77.47164252,1.283976736
52685,San Bernardo,Nariño,San Bernardo Nariño,-77.04704377,1.514390167
52687,San Lorenzo,Nariño,San Lorenzo Nariño,-77.21535351,1.503118556
52693,San Pablo,Nariño,San Pablo Nariño,-77.01267985,1.669115452
