,COD_HECHO,DEP,MUN,CODMUN,FECHA,REVIEW,NOMBREDEP,NOMBREMUN,CODDEP,CODRegion,longitude,latitude,REVIEW_mundep,CODDEPAL,CODDEPALlist,CODDEPALlist2
0,33765,CAUCA,SUAREZ,19780,2/01/2019,martes presento primer asesinato lider social trata gilberto valencia emprendedor social constructor paz gestor cultural municipio suarez cauca asesinado horas maana mientras encontraba departiendo familiares amigos llegada nuevo parecer joven disparo arma hechiza causandole muerte sealan valencia conocia agresor parecer hacia parte procesos sociales lider trabajaba municipio segun testigos hechos agresor embriaguez bajo efectos sustancias psicoactivas aun desconocen causas pudo motivar asesinato lider social gilberto valencia lider grupo herederos participo convocatoria organizacion recon siendo ganadores iniciativa dialogos itinerantes paz buscaba traves musica socializar cada puntos acuerdos logrados dialogos paz habana andres santamaria director recon rechazo sucedido sealo violencia descomposicion social estan arrebatando lideres gestores sociales acciones buscan construccion paz generacion oportunidades transformacion social podemos permitir pais dias sigan asesinando lideres sociales sistema alertas tempranas defensoria pueblo sealo finales tenia reporte lideres sociales defensores ddhh asesinados cifras dan cuenta victimas hombres mujeres mayoria dedicados trabajos comunales defensoria pueblo tambien sealo enero pasado noviembre registrado asesinatos lideres sociales siendo marcado tope mas alto,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,valencia paz suarez cauca nuevo valencia bajo valencia paz paz andres paz pueblo pueblo alto,Cauca,['cauca'],['cauca']
1,33947,CAUCA,SUAREZ,19780,23/01/2019,resultado operaciones ofensivas adelantadas marco plan guerra bicentenario heroes libertad tropas ejercito coordinacion policia fuerza aerea ultimas horas lograron captura sujeto conocido alias chaman departamento cauca presunto integrante comision finanzas grupo armado organizado residual gaor estructura jaime martinez alias chaman detenido vereda bellavista municipio suarez mediante orden allanamiento hechos incautada cocaina mas millones pesos efectivo tres telefonos celulares tres radios comunicaciones informaciones inteligencia sealan sujeto seria encargado control produccion comercializacion clorhidrato decocaina municipios suarez buenos aires alias chaman cobijado medida aseguramiento centro penitenciario quedo disposicion autoridad judicial,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,cauca suarez suarez buenos aires,Cauca,['cauca'],['cauca']
2,34015,CAUCA,SUAREZ,19780,30/01/2019,organizaciones sociales cauca denunciaron asesinato lider campesino vereda santa barbara municipio suarez noroccidente departamento trata dilio corpus guetio aos tarde martes semana salia casa motocicleta hacia sitio trabajo ubicado corregimiento betulia interceptado hombre armado carro particular disparo repetidas ocasiones victima integrante asociacion campesina asocordillera filial fensuagro cauca miembro guardia campesina,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,cauca santa barbara suarez betulia cauca,Cauca,['cauca'],['cauca']
3,34552,CAUCA,SUAREZ,19780,18/03/2019,agrava situacion cauca cierre corredor humanitario via suarez timba siendo utilizada corredor humanitario via alterna transitar bloqueo via panamericana completa semana tambien cerrada lunes manifestantes insistian presencia presidente duque region supo hechos presentaron enfrentamientos fuerza publica manifestantes sitio san miguel corregimiento asnazu zona rural municipio suarez norte cauca denunciandose utilizacion armas fuego largo alcance,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,cauca suarez panamericana san miguel zona suarez norte cauca,Cauca,['cauca'],['cauca']
4,34563,CAUCA,SUAREZ,19780,19/03/2019,medio manifestaciones persisten bloqueos via panamericana ministro defensa guillermo botero aseguro protesta infiltrada disidentes farc serian responsables cometer delitos atacar fuerza publica medio situacion registra cauca segun informacion inteligencia policia asegura zona delinque grupo residual farc jaime martinez mando majin boo identificado orden judicial vigente,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,medio panamericana medio cauca zona,Cauca,['cauca'],['cauca']
5,35172,CAUCA,SUAREZ,19780,16/05/2019,coordinador red derechos humanos suroccidente colombiano deivi hurtado revelo medio situacion confusa municipio suarez produjo atentado lider social candidato alcaldia municipio suarez cauca cesar lizardo ceron,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,medio suarez suarez cauca cesar,Cauca,['cauca'],['cauca']
6,35755,CAUCA,SUAREZ,19780,4/07/2019,dos mineros ultimados arma fuego zona rural suarez cauca comunidad resguardo cerro tijeras jurisdiccion municipio suarez cauca confirmo muerte violenta dos personas cadaveres dejados camino zona norte cauca trata dos mineros respondian nombres jaime antonio jaramillo pacheco anibal antonio altamiranda ciudadanos ultimados arma fuego tras hallazgo comunidad informo autoridades municipio ahi sitio llegara grupo investigadores sijin corroboraron manera identidades victimas asi ambas oriundas planeta rica cordoba,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,zona suarez cauca cerro suarez cauca zona norte cauca antonio antonio planeta rica cordoba,Cauca,['cauca'],['cauca']
7,35913,CAUCA,SUAREZ,19780,17/07/2019,presentaron enfrentamientos tropas ejercito gaor farc zona rural municipio suarez,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,zona suarez,Cauca,['cauca'],['cauca']
8,36213,CAUCA,SUAREZ,19780,13/08/2019,ejercito reporto muerte militar enfrentamiento faccion grupo residual jaime martinez disidencias farc area rural municipio suarez,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,suarez,Cauca,['cauca'],['cauca']
9,36244,CAUCA,SUAREZ,19780,16/08/2019,municipio suarez norte cauca completan dos dias combates ejercito disidentes entonces guerrilla farc enfrentamientos familias campesinas indigenas desplazadas,Cauca,Suárez,19,Pacifico,-76.69500094,2.954433455,suarez norte cauca,Cauca,['cauca'],['cauca']
