,id_not,title,description,pubDate,link,category,medium
0,0,Hallan en la Cordialidad a conductor que estaba desaparecido | El Heraldo,"Tras permanecer dos días desaparecido, vigilantes  hallaron amordazado a Arturo José Campos Ortiz en el kilómetro 1 de la vía la Cordialidad que conduce al municipio de Galapa, Atlántico.
El hombre de 30 años, fue encontrado amarrado de pies y brazos y con varias lesiones en su cuerpo, por lo que fue llevado al hospital principal de ese municipio.
Según relata el hombre, el pasado 29 de julio, se movilizaba en un camión tipo furgón, color blanco de placas WGW-330, por el barrio Siete de Abril cuando fue interceptado por  hombres que se movilizaban en vehículo.
 “Lo intimidan y lo obligan a descender del camión, posteriormente se dan a la huida logrando hurtar el vehículo. El hombre que presenta lesiones leves en extremidades superiores e inferiores”, detalló la Policía en un reporte preliminar. 
Sus familiares habían reportado la desaparición de Campos Ortiz la tarde del miércoles.
Otros siguen en la búsqueda.
La familia de Jorge Eliécer Ruiz Martelo no está tranquila. La angustia se apoderó de su esposa y demás familiares desde el pasado 13 de julio, cuando vieron por última vez al hombre de 43 años.
Según informaron al Grupo de Desaparecidos de la Fiscalía Seccional Atlántico y a EL HERALDO, Jorge había salido ese lunes de su casa, en el barrio Carrizal, para entregar una mercancía en un local del Centro de la ciudad, específicamente en el sector de Paseo Bolívar con carrera 38. Sin embargo, aunque lo esperaban esa misma tarde, hasta hoy, 18 días después, no ha regresado.
Según han contado algunos allegados a la familia, con base en rumores, el hombre habría sido asaltado por delincuentes y, en ello, recibió un golpe en la cabeza que, debido a la isquemia cerebral que padece, le generó una pérdida del conocimiento y así habría terminado deambulando por las calles de la ciudad. Iba vestido con camisa manga larga de color rosado y bluyín.
La familia ofrece recompensa de  $200.000 por información al 3013392445 o al 3015978820.",2020-07-31 16:04:17+00:00,https://www.elheraldo.co/judicial/hallan-en-la-cordialidad-conductor-que-estaba-desaparecido-746848,Judicial,El Heraldo
1,1,¿Lograrán llevar a ‘Tommy Masacre’ a la cárcel? | El Heraldo,"Este jueves le volvieron a dictar medida de aseguramiento con detención en centro carcelario a Tommy Joel Zerpa Brito, más conocido como Tommy Masacre. Esta sería la segunda órden de cárcel que le dictan, pero quizá no sería la última, pues aún le resta responder por dos procesos judiciales más.
Según conoció EL HERALDO, la audiencia de ayer se realizó desde la Estación de Policía de Simón Bolívar, donde permanece ‘Tommy Masacre’ desde que fue recapturado el pasado 24 de julio.
‘Tommy Masacre’, de 21 años, se había fugado de la URI de la Fiscalía en el barrio La Pradera el pasado 20 de marzo, tras haber estado allí por 10 días, luego de una captura inicial por el homicidio del tendero Gerardo Reyes, en el barrio Chiquinquirá el lunes 24 de febrero, y que se relaciona con una extorsión.
Solo hasta ayer la Fiscalía le pudo imputar a Zerpa Brito el delito de homicidio calificado y agravado, porte ilegal de armas y concierto para delinquir, en relación con su supuesta identidad como cabecilla de sicarios del grupo de delincuencia organizada ‘Los Costeños’.
Por este caso, un juez le ordenó ser recluido de manera preventiva en la Cárcel Modelo de Barranquilla; sin embargo, ya contra él pesaba una orden igual dictada a principios de esta misma semana por el arsenal que le incautaron durante el reciente operativo de captura.
Además, ‘Tommy Masacre’ es señalado de asesinar a Franklin y Pedro Sanjuanelo y a Denis Herrán, en Santa Marta (Magdalena), el pasado 12 de febrero; y estando en las carceletas de la URI en Barranquilla habría intentado ahorcar a un habitante de calle que se encontraba detenido por porte de estupefacientes.
Si bien las autoridades han recalcado la alta peligrosidad de ‘Tommy Masacre’ y su historial de fugas, aún no ha llegado a la cárcel Modelo, sino que permanece en la estación de policía antes mencionada, que no cuenta con el mismo nivel de seguridad de la prisión.
Este medio conoció que para hoy viernes está programado el traslado de Zerpa Brito a la cárcel; sin embargo, también es sabido que el Inpec no está recibiendo presos como medida por la pandemia, por lo que se desconoce si ‘Tommy Masacre’ estará finalmente tras las rejas.",2020-07-31 02:41:07+00:00,https://www.elheraldo.co/judicial/lograran-llevar-tommy-masacre-la-carcel-746774,Judicial,El Heraldo
2,2,Este viernes continúa el juicio contra ‘El Satánico’ | El Heraldo,"Para este viernes a las 2:00 de la tarde se tiene previsto que se reanude la etapa del juicio a Tomás Maldonado Cera, alias el Satánico, por el proceso judicial que se le sigue por el feminicidio, acceso carnal violento y otros delitos cometidos en contra de Brenda Pájaro Bruno.
A Maldonado Cera le habían concedido la libertad por vencimiento de términos el pasado 22 de julio, tras haberla solicitado en nueve ocasiones; sin embargo, cuando estaba cerca de volver a la libertad las autoridades se lo impidieron al notificarle una nueva captura por la desaparición de Yadira Martínez Gutiérrez, crimen cometido en octubre de 2002.
‘El Satánico’ se encuentra en la Cárcel Modelo de Barranquilla, donde está desde febrero de 2019, luego de que un juez de la República ordenara la detención intramural preventiva por su presunta responsabilidad en el feminicidio de Pájaro Bruno, ocurrido en julio de 2018.
Otra diligencia
El pasado martes, la Fiscalía General de la Nación escuchó en indagatoria a alias el Satánico, por la desaparición forzada de Martínez Gutiérrez.
El interrogatorio se llevó a cabo de manera virtual entre las 9:00 y las 10:00 de la mañana de este lunes, siguiendo los lineamientos propios de la Ley 600 en la que se enmarca el proceso, debido a la fecha en que se cometió el delito que le endilgan a Maldonado Cera.
En la diligencia virtual hicieron presencia el fiscal 11 Especializado de la Unidad de Alertas Tempranas de Homicidios, Rodrigo Restrepo; Tomás Maldonado Cera y su abogado, Armando Ariza.
En los próximos días el fiscal deberá comunicar la decisión sobre la situación jurídica de alias el Satánico, a quien la Fiscalía ha señalado como un potencial asesino en serie tras vincularlo a nueve homicidios y desapariciones forzadas en el Atlántico.",2020-07-31 02:37:27+00:00,https://www.elheraldo.co/judicial/este-viernes-continua-el-juicio-contra-el-satanico-746770,Judicial,El Heraldo
3,3,“El río creció rápido y no vimos más a los jóvenes” | El Heraldo,"La tarde del pasado martes Wilfrido Osorio Miranda, de 19 años, y su novia de 17 años, decidieron ir a divertirse en las aguas del río Magdalena en compañía de varios amigos. El grupo se divertía sin saber que minutos más tarde la caída de un aguacero en el sur del departamento generaría una corriente súbita.
Residentes y vecinos que hacen vida por los alrededores del mercado de Soledad señalaron que es frecuente que personas acudan a esa zona del río para bañarse.
“Esa tarde vimos a varios muchachos que estaban en uno de los brazos del río bañándose, por esta zona el cielo estaba despejado, pero sí veía que hacia los pueblos estaba lloviendo. De momento vimos, como suele pasar, que el río creció muy rápido y no vimos más a los jóvenes. De inmediato pensamos que habían logrado salir”, contó a este medio un testigo.
Varios de los amigos de los que estaban con la pareja alcanzaron salir de las aguas, pero ellos fueron arrastrados por la corriente. El mayor Néstor Armando Rodríguez, director de la Defensa Civil en el departamento, contó a EL HERALDO que esa misma tarde fue contactado por la Alcaldía de Soledad para avisarle de la novedad.
“De inmediato hicimos algunas labores de búsqueda, pero oscureció rápido, y decidimos que el miércoles desde las 6 de la mañana retomaríamos las labores. Utilizamos un elemento para remover las aguas del caño y eso nos llevó a que en horas del mediodía de ese día pudiésemos recuperar el cuerpo de la adolescente, pero continuábamos buscando la segunda persona desaparecida”, detalló Rodríguez.
Dos grupos de rescate acuático de la institución, conformados por 8 personas,  sumaron sus fuerzas para la labor. “Este es un equipo especializado para realizar este tipo de búsquedas, por ello su efectividad en cuanto a los rescates”, precisó el mayor.
Fue así como este jueves, a las 8:25 de la mañana, hallaron el cuerpo del joven que se encontraba desaparecido. El hallazgo de  Osorio Miranda se hizo específicamente a la altura de la entrada al caño de Soledad.
“Desde las 6:30 a.m. se retomaron las labores de búsqueda por parte del grupo de rescate acuático  de la Defensa Civil. CTI  se encargó del levantamiento del cuerpo para que fuera entregado a su familia”, señaló el mayor.
De acuerdo con lo señalado por parientes, la adolescente y  Osorio Miranda “eran novios” y habían ido al río para bañarse y celebrar. “Estábamos jugando en el río y al ratico no los volvimos a ver”, señaló un testigo. 
Se conoció que la pareja residía en el barrio Soledad 2000.",2020-07-31 01:31:01+00:00,https://www.elheraldo.co/judicial/el-rio-crecio-rapido-y-no-vimos-mas-los-jovenes-746755,Judicial,El Heraldo
4,4,Mantienen embargo a bienes relacionados con Giraldo Serna | El Heraldo,"La Sala de Justicia y Paz con funciones de Control de Garantías del Tribunal Superior de Barranquilla negó el levantamiento de las medidas cautelares sobre 14 bienes de Ancízar Álvarez Duque, hombre señalado de tener nexos con Hernán Giraldo Serna, el comandante del extinto grupo paramilitar bloque Resistencia Tayorna.
Se trata de establecimientos como parqueaderos, locales y establecimientos de comercio ubicados, principalmente, en zonas marginales de Santa Marta.
Es así como la Magistratura resolvió, el pasado el 15 de julio, negar el levantamiento de las medidas cautelares que pesan sobre varios predios de propiedad de Duque, que aunque no fue postulado a los beneficios de la Ley de Justicia y Paz, ni ha sido condenado por el delito de concierto para delinquir, tuvo relación con  Giraldo Serna.
Según el Tribunal, los negocios de Duque “crecieron vertiginosamente” con la ayuda del brazo armado del excomandante.
“Para la Sala, Álvarez Duque fue beneficiario del paramilitarismo”, por lo tanto la decisión significa que los bienes estarían llamados a reparar a las víctimas del frente Resistencia Tayrona de las AUC.
Sin embargo, contra la decisión se interpuso un recurso de apelación, pero será la Corte Suprema de Justicia la que emita la última palabra.
En la decisión, el magistrado ordenó librar oficio a la Oficina de Registro de Instrumentos Públicos del Distrito Turístico, Cultural e Histórico de Santa Marta, “reiterando la firmeza de las medidas cautelares” sobre los 14 bienes  que estuvieron también vinculados a un trámite ordinario de extinción de dominio, que mediante sentencia del  25 de junio de 2018 el Juzgado Penal del Circuito Especializado de Extinción de Dominio de Barranquilla declaró la improcedencia extraordinaria de la acción.
De igual manera, el togado ordenó al señor fiscal 35 de la Unidad de Justicia Transicional “que tome las medidas respectivas para que las víctimas no vean burlados sus derechos”.
Dentro de la decisión se lee: “Aunque el señor Ancízar Álvarez Duque no ha sido judicializado por el delito de concierto para delinquir con correspondencia en el conflicto armado interno de este país, la prueba practicada lo ubica en una posición privilegiada en las diversas estructuras paramilitares que lideró Hernán Giraldo Serna, al punto que su bar Los Bambucos siempre fue un sitio de reunión de esos grupos armados al margen de la Ley”.",2020-07-31 00:23:00+00:00,https://www.elheraldo.co/judicial/mantienen-embargo-bienes-relacionados-con-giraldo-serna-746726,Judicial,El Heraldo
5,5,"¿Petróleo por comida?, el otro negocio que le revisan a Saab | El Heraldo","Como si fuera poco ser solicitado en extradición por Estados Unidos y llamado a juicio en Colombia, un nuevo Gobierno se suma a los que van detrás del empresario barranquillero Alex Saab Morán: México.
Investigaciones de medios internacionales revelaron esta semana que el país azteca está revisando la participación del colombiano de 48 años en contratos por más de 236 millones de dólares, celebrados en 2019 con una empresa de ese país. ¿El objetivo? Conocer la verdad sobre los intercambios de petróleo venezolano por comida mexicana que involucran al magnate  de la contratación estatal bolivariana.
De acuerdo con lo publicado por El País y Armando.info,  el Gobierno de México duda de la legalidad del acuerdo firmado en junio de 2019 entre la empresa mexicana Libre Abordo –dedicada al comercio internacional y sin experiencia previa en el mercado energético– y la empresa estatal venezolana Corporación Venezolana de Comercio Exterior (Corpovex), para la exportación de petróleo venezolano a cambio de maíz y camiones cisterna para agua potable procedentes de México.
Según el Departamento del Tesoro de Estados Unidos –que también investiga el caso–, la relación comercial se hizo efectiva en dos contratos millonarios de los cuales México asegura no hay claridad, pero que permitieron el despacho de más de 30 millones de barriles de crudo venezolano, violando así las restricciones y sanciones de EE. UU. sobre Venezuela.
En uno de los contratos, Libre Abordo se comprometía a enviar 1.000 camiones cisterna, cada uno avaluado en casi 140.000 euros (165.000 dólares aproximadamente).
En el otro, Libre Abordo firmó  con Corpovex que se enviarían 200.000 toneladas de maíz blanco al país bolivariano. Estas costarían 280,9 euros (332 dólares aproximadamente) cada tonelada. Cabe destacar que las operaciones se realizaron en euros y no en dólares para evitar las sanciones impuestas por el Gobierno de Estados Unidos a Venezuela. Se estipulaba el pago anticipado del 70 % de los contratos. Esta modalidad se asemeja a la estafa de los Comité Local de Abastecimiento y Producción (Clap) por la que EE. UU. ordenó la circular de Interpol contra Saab.
En ese sentido, el Gobierno estadounidense señala  a la empresa Libre Abordo de ser cómplice de la red de corrupción y los esquemas de contratación ilegales por los que señalan a Alex Saab, en favor del régimen de Nicolás Maduro.
Por este caso, los mexicanos Joaquín Leal, de 28 años; Verónica Esparza, de 47, y su hija Olga María Zepeda Esparza, de 24, fueron incluidos en la lista negra de la Oficina de Activos Extranjeros (OFAC) de EE. UU.
Según han investigado México y EE. UU., la cabeza del negocio irregular sería Leal, de quien aseguran pactó con Saab la venta del petróleo de la paraestatal Petróleos de Venezuela (Pdvsa), desde  2019 y hasta junio de este año (cuando fue capturado Saab en Cabo Verde), con la fachada de que el convenio tenía un carácter “humanitario” en favor del pueblo venezolano.
Los gobiernos que investigan aseguran que Tareck  El Aissami, ministro de Petróleo en Venezuela y cercano a Maduro –y a quien Saab ha llamado “primo”–, estaba en conocimiento de las transacciones. También vinculan a la empresa mexicana Schlager Business Group, aliada de Libre Abordo.
El 31 de mayo, Libre Abordo se declaró en bancarrota, luego de que EE. UU. informara que investigaba el negocio y poco antes de que el Departamento del Tesoro comunicara la inclusión de las tres personas antes mencionadas en la lista de la OFAC.
De acuerdo con lo reportado por medios internacionales, el Gobierno de Maduro no ha respondido oficialmente ante las acusaciones por supuestas irregularidades en los contratos antes mencionados; sin embargo, fuentes del régimen aseguraron que la llamada “falta de claridad” en los contratos” es producto de las trabas y sanciones que ha puesto EE. UU. a Venezuela para la celebración de este tipo de negocios.",2020-07-31 00:18:18+00:00,https://www.elheraldo.co/judicial/petroleo-por-comida-el-otro-negocio-que-le-revisan-saab-746725,Judicial,El Heraldo
6,6,Caen los presuntos homicidas de un abogado en Cartagena  | El Heraldo,"Agentes de la Fiscalía y la Policía Metropolitana de Cartagena capturaron la tarde de este jueves a los presuntos responsables del homicido de Sergio Andrés Díaz Barrios, un abogado, registrador auxiliar de esa ciudad, en hechos ocurridos el pasado 16 de julio, en el suroriente de la capital de Bolívar.
El reporte de la Mecar indicó que las capturas se realizaron luego de realizar varios operativos en vías principales de los barrios 13 de junio y el sector El Porvenir del barrio Olaya Herrera.
“Policías de la Seccional de Investigación Criminal e Interpol, bajo la coordinación de la Fiscalía 51 Seccional URI, capturaron a un sujeto conocido como ‘El Pastrana’, de 27 años, y ‘El Pichui’, de 28, quienes presuntamente habrían participado en el homicidio del joven abogado, herido por proyectil de arma de fuego”, señaló el reporte.
Alias El Pastrana, según las autoridades, registra varios antecedentes por porte ilegal de armas de fuego, tráfico de estupefacientes y lesiones personales; mientras que ‘El Pichui’, registra antecedentes por homicidio, porte ilegal de armas de fuego y lesiones personales.
A pocos días del crimen, el registrador nacional del Estado Civil, Alexander Vega Rocha solicitó a las autoridades para que se investigara el crimen del funcionario.
A través de un comunicado, el jefe de la Registraduría lamentó el asesinato del registrador auxiliar de Cartagena, quien luego de ser asaltado y herido de gravedad, en el barrio Los Alpes de la capital de Bolívar, murió la madrugada de este jueves tras permanecer dos días en  la UCI de la Clínica Madre Bernarda, de esa ciudad.
“Solicito a la Policía Nacional de Colombia y demás autoridades competentes que aceleren el proceso de identificación y judicialización de los delincuentes que provocaron la muerte de nuestro servidor. Clamamos para que su deceso no quede en la impunidad”, solicitó el registrador nacional en su momento.",2020-07-31 00:01:29+00:00,https://www.elheraldo.co/judicial/caen-los-presuntos-homicidas-de-un-abogado-en-cartagena-746712,Judicial,El Heraldo
7,7,Desarticulan en Sabanalarga la banda de ‘Los Goku’ | El Heraldo,"Funcionarios de la dirección seccional de Fiscalías del Atlántico y efectivos de la Sijin, en labores conjuntas, desarticularon en las últimas horas la banda delincuencial conocida como ‘Los Goku’, dedicadas al robo de motos en Sabanalarga.
El Grupo Delincuencial Criminal Organizado (GDCO)  fue desmantelado mediante dos diligencias de registro y allanamiento realizadas en el municipio atlanticense.
“En los operativos fueron capturadas tres personas y recuperadas cuatro motocicletas. Los implicados eran requeridos por los delitos de concierto para delinquir con fines de hurto calificado y agravado, y estarían relacionados con, al menos, seis hechos delictivos”, indicó la Fiscalía en un comunicado.
Los capturados fueron identificados como: Andrés Camilo Guerrero Polo, alias El Pancha, quien  tiene antecedentes por porte ilegal de armas; Jorge Manuel Escobar Molina y Rainer José Rodríguez Luquez, alias ‘Papa’, quien registra un antecedente por el delito de Homicidio.
‘El Pancha’  al parecer, estaría involucrado en el homicidio de una menor de edad, en hechos ocurridos el pasado 29 de mayo en el mismo municipio.
“Las motos que eran robadas luego eran vendidas por  $800.000 y hasta por un millón de pesos”, dijo una fuente a este medio.",2020-07-30 23:22:46+00:00,https://www.elheraldo.co/judicial/desarticulan-en-sabanalarga-la-banda-de-los-goku-746702,Judicial,El Heraldo
8,8,Sigue el cruce de denuncias y recursos legales por el manejo de la Unimetro | El Heraldo,"El Juez 11 Penal del Circuito de Barranquilla, Manuel López Noriega resolvió, en segunda instancia, dictar medida de aseguramiento domiciliaria contra Juan José Acosta Osio, rector de la Universidad Metropolitana y  de Alberto Enrique Acosta Pérez, ex gerente del Hospital Metropolitano Universitario, por los delitos de concierto para delinquir, obtención de documento público falso y fraude procesal.
En audiencia realizada la tarde-noche de este miércoles, el juez tomó la decisión basándose, entre otras cosas, en que los imputados “no hacían parte de la Junta Directiva” la Universidad Metropolitana de Barranquilla, la Fundación Acosta Bendeck y del Hospital Universitario Metropolitano, al momento de la celebración de unas reuniones donde “tomaron decisiones que no les competían” por no estar sus nombres en el acta de los estatutos la institución.
“Los asistentes a esa reunión se atribuyeron facultades que no tenían, por lo que incurrieron en una falsedad ideológica en documento privado”, señaló el juez antes de emitir la decisión.
Según la decisión, “se estima que había  inferencia razonable de autoría o participación de los imputados en la comisión de los punibles de concierto para delinquir, obtención de documento público falso y fraude procesal ante la Gobernación del Atlántico”.  
A los pocos momentos de conocerse el fallo, los señalados emitieron un comunicado donde tildaron de “precipitado” al  juez  por una “decisión absolutamente cuestionable”.
“La decisión en cuestión, carece de legitimidad, por cuanto, desde el pasado 12 de diciembre de 2019 fue emitida una decisión de Habeas Corpus la cual fue confirmada en sede de tutela por el Tribunal Administrativo del Atlántico y por el Honorable Consejo de Estado. Dicho Habeas Corpus dejó en claro que la medida de aseguramiento que en su momento fue dictada en nuestra contra, es ilegal, contraria a la constitución y constituyó una evidente vulneración de nuestros derechos fundamentales”, señala el comunicado.
Señalan que el fallo del “es mentiroso” y “temerario” cuando indica que los suscritos “podrían huir para evadir nuestra cita con la justicia”
 “Es evidente que el juez López Noriega cometió el delito de prevaricato, razón por la que en las próximas horas formularemos la respectiva denuncia en contra de ese funcionario judicial”, expone la misiva.",2020-07-30 18:45:20+00:00,https://www.elheraldo.co/judicial/sigue-el-cruce-de-denuncias-y-recursos-legales-por-el-manejo-de-la-unimetro-746604,Judicial,El Heraldo
9,9,Caen hermanos señalados de doble crimen | El Heraldo,"Eran las 8:20 de la noche del 16 de febrero de 2018 cuando las balas retumbaron en las calles del barrio Rebolo. De nuevo los rumores de un nuevo crimen se regaron rápidamente por el barrio mientras que todo se convertía en un caos. ¿Las víctimas? Un adulto de 48 años y un joven que apenas llegaba a los 15. 

En su momento, contaron los testigos que a la calle 24 con carrera 29  llegó un hombre que vestía un suéter manga larga de color blanco y una gorra. Se acercó a una vivienda y disparó contra César Julio Arias Arias y el menor Jorge Eliécer Segura Mercado. 

Tras la huida del antisocial, los vecinos auxiliaron a las víctimas y las trasladaron hasta el hospital general de Barranquilla, donde los médicos informaron minutos después que no pudieron hacer mayor cosa para salvar a los heridos. 

Ya la Sijin se había puesto al frente de la situación y un grupo de investigadores empezó a recoger información que los llevaría a esclarecer el doble crimen. Así fue como la labor investigativa dio resultados dos años y cinco meses después. 

El miércoles en la tarde, los encargados del caso atraparon a dos hermanos que hoy tienen 20 años y que serían los responsables del doble crimen. Además, entre los dos tienen una lista de no menos de ocho anotaciones judiciales por los delitos de tráfico de estupefacientes, hurto y porte ilegal de armas de fuego.",2020-07-30 18:11:17+00:00,https://www.elheraldo.co/judicial/caen-hermanos-senalados-de-doble-crimen-746599,Judicial,El Heraldo
