CODDEPAL,DEPlongitude,DEPlatitude
Putumayo,-76.64995628,1.150325171
Cauca,-76.63011557,2.451132597
Narino,-77.29084473,1.200480473
Huila,-75.29114114,2.932994187
Choco,-76.65069683,5.68418034
ValledelCauca,-76.5352769,3.410248055
Caqueta,-75.59669379,1.612054318
Cundinamarca,-73.9854321,5.03025857
Quindio,-75.65913146,4.54991247
Meta,-73.65055075,4.111799377
Tolima,-75.15149663,4.406443956
Vaupes,-70.23362305,1.254060702
Amazonas,-69.94550213,-4.203203892
Guainia,-67.92386589,3.867934176
Vichada,-67.48859983,6.184197448
Guaviare,-72.63827352,2.566984746
Antioquia,-75.55169559,6.290507178
Caldas,-75.4877286,5.069720207
Risaralda,-75.70034731,4.81599777
Bolivar,-75.50108744,10.35939031
Atlantico,-74.83103232,10.93013434
Magdalena,-74.20020963,11.20520068
Sucre,-75.40768352,9.308844628
Boyaca,-73.34575318,5.559139078
Cordoba,-75.89843407,8.759480009
ArchipielagodeSanAndres,-81.70720079,12.57992492
Santander,-73.12489706,7.083538906
Casanare,-72.39683123,5.321421802
Arauca,-70.75280516,7.079190303
NortedeSantander,-72.53453822,7.90277019
Cesar,-73.27509756,10.47818678
LaGuajira,-72.92011074,11.54180708
BogotaDC,-74.02967768,4.688055983
